_id,code_snippets,constraint,description.description_img_source,description.description_text,examples,kebabCaseName,name
63b594e78ad4593d6b7b01cc,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def containsDuplicate(self, nums: List[int]) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @return {boolean}\n */\nvar containsDuplicate = function(nums) {\n    \n};""}]","

1 <= nums.length <= 105
-109 <= nums[i] <= 109

",null,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.
 
","[{""example_text"":""Input: nums = [1,2,3,1]\nOutput: true\n"",""example_img_source"":null},{""example_text"":""Input: nums = [1,2,3,4]\nOutput: false\n"",""example_img_source"":null},{""example_text"":""Input: nums = [1,1,1,3,3,4,3,2,4,2]\nOutput: true\n"",""example_img_source"":null}]",contains-duplicate,Contains Duplicate
63b594e88ad4593d6b7b01cd,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def isAnagram(self, s: str, t: str) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @param {string} t\n * @return {boolean}\n */\nvar isAnagram = function(s, t) {\n    \n};""}]","

1 <= s.length, t.length <= 5 * 104
s and t consist of lowercase English letters.

 
Follow up: What if the inputs contain Unicode characters? How would you adapt your solution to such a case?
",null,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.
An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.
 
","[{""example_text"":""Input: s = \""anagram\"", t = \""nagaram\""\nOutput: true\n"",""example_img_source"":null},{""example_text"":""Input: s = \""rat\"", t = \""car\""\nOutput: false\n"",""example_img_source"":null}]",valid-anagram,Valid Anagram
63b594e98ad4593d6b7b01ce,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def twoSum(self, nums: List[int], target: int) -> List[int]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @param {number} target\n * @return {number[]}\n */\nvar twoSum = function(nums, target) {\n    \n};""}]","

2 <= nums.length <= 104
-109 <= nums[i] <= 109
-109 <= target <= 109
Only one valid answer exists.

 
Follow-up: Can you come up with an algorithm that is less than O(n2) time complexity?",null,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
You may assume that each input would have exactly one solution, and you may not use the same element twice.
You can return the answer in any order.
 
","[{""example_text"":""\nInput: nums = [2,7,11,15], target = 9\nOutput: [0,1]\nExplanation: Because nums[0] + nums[1] == 9, we return [0, 1].\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [3,2,4], target = 6\nOutput: [1,2]\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [3,3], target = 6\nOutput: [0,1]\n"",""example_img_source"":null}]",two-sum,Two Sum
63b594ea8ad4593d6b7b01cf,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def groupAnagrams(self, strs: List[str]) -> List[List[str]]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string[]} strs\n * @return {string[][]}\n */\nvar groupAnagrams = function(strs) {\n    \n};""}]","

1 <= strs.length <= 104
0 <= strs[i].length <= 100
strs[i] consists of lowercase English letters.

",null,"Given an array of strings strs, group the anagrams together. You can return the answer in any order.
An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.
 
","[{""example_text"":""Input: strs = [\""eat\"",\""tea\"",\""tan\"",\""ate\"",\""nat\"",\""bat\""]\nOutput: [[\""bat\""],[\""nat\"",\""tan\""],[\""ate\"",\""eat\"",\""tea\""]]\n"",""example_img_source"":null},{""example_text"":""Input: strs = [\""\""]\nOutput: [[\""\""]]\n"",""example_img_source"":null},{""example_text"":""Input: strs = [\""a\""]\nOutput: [[\""a\""]]\n"",""example_img_source"":null}]",group-anagrams,Group Anagrams
63b594eb8ad4593d6b7b01d0,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def topKFrequent(self, nums: List[int], k: int) -> List[int]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @param {number} k\n * @return {number[]}\n */\nvar topKFrequent = function(nums, k) {\n    \n};""}]","

1 <= nums.length <= 105
-104 <= nums[i] <= 104
k is in the range [1, the number of unique elements in the array].
It is guaranteed that the answer is unique.

 
Follow up: Your algorithm's time complexity must be better than O(n log n), where n is the array's size.
",null,"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.
 
","[{""example_text"":""Input: nums = [1,1,1,2,2,3], k = 2\nOutput: [1,2]\n"",""example_img_source"":null},{""example_text"":""Input: nums = [1], k = 1\nOutput: [1]\n"",""example_img_source"":null}]",top-k-frequent-elements,Top K Frequent Elements
63b594eb8ad4593d6b7b01d1,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def productExceptSelf(self, nums: List[int]) -> List[int]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @return {number[]}\n */\nvar productExceptSelf = function(nums) {\n    \n};""}]","

2 <= nums.length <= 105
-30 <= nums[i] <= 30
The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer.

 
Follow up: Can you solve the problem in O(1) extra space complexity? (The output array does not count as extra space for space complexity analysis.)
",null,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i].
The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer.
You must write an algorithm that runs in O(n) time and without using the division operation.
 
","[{""example_text"":""Input: nums = [1,2,3,4]\nOutput: [24,12,8,6]\n"",""example_img_source"":null},{""example_text"":""Input: nums = [-1,1,0,-3,3]\nOutput: [0,0,9,0,0]\n"",""example_img_source"":null}]",product-of-array-except-self,Product Of Array Except Self
63b594ec8ad4593d6b7b01d2,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def isValidSudoku(self, board: List[List[str]]) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {character[][]} board\n * @return {boolean}\n */\nvar isValidSudoku = function(board) {\n    \n};""}]","

board.length == 9
board[i].length == 9
board[i][j] is a digit 1-9 or '.'.

",null,"Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules:

Each row must contain the digits 1-9 without repetition.
Each column must contain the digits 1-9 without repetition.
Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without repetition.

Note:

A Sudoku board (partially filled) could be valid but is not necessarily solvable.
Only the filled cells need to be validated according to the mentioned rules.

 
","[{""example_text"":""\nInput: board = \n[[\""5\"",\""3\"",\"".\"",\"".\"",\""7\"",\"".\"",\"".\"",\"".\"",\"".\""]\n,[\""6\"",\"".\"",\"".\"",\""1\"",\""9\"",\""5\"",\"".\"",\"".\"",\"".\""]\n,[\"".\"",\""9\"",\""8\"",\"".\"",\"".\"",\"".\"",\"".\"",\""6\"",\"".\""]\n,[\""8\"",\"".\"",\"".\"",\"".\"",\""6\"",\"".\"",\"".\"",\"".\"",\""3\""]\n,[\""4\"",\"".\"",\"".\"",\""8\"",\"".\"",\""3\"",\"".\"",\"".\"",\""1\""]\n,[\""7\"",\"".\"",\"".\"",\"".\"",\""2\"",\"".\"",\"".\"",\"".\"",\""6\""]\n,[\"".\"",\""6\"",\"".\"",\"".\"",\"".\"",\"".\"",\""2\"",\""8\"",\"".\""]\n,[\"".\"",\"".\"",\"".\"",\""4\"",\""1\"",\""9\"",\"".\"",\"".\"",\""5\""]\n,[\"".\"",\"".\"",\"".\"",\"".\"",\""8\"",\"".\"",\"".\"",\""7\"",\""9\""]]\nOutput: true\n"",""example_img_source"":""https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Sudoku-by-L2G-20050714.svg/250px-Sudoku-by-L2G-20050714.svg.png""},{""example_text"":""\nInput: board = \n[[\""8\"",\""3\"",\"".\"",\"".\"",\""7\"",\"".\"",\"".\"",\"".\"",\"".\""]\n,[\""6\"",\"".\"",\"".\"",\""1\"",\""9\"",\""5\"",\"".\"",\"".\"",\"".\""]\n,[\"".\"",\""9\"",\""8\"",\"".\"",\"".\"",\"".\"",\"".\"",\""6\"",\"".\""]\n,[\""8\"",\"".\"",\"".\"",\"".\"",\""6\"",\"".\"",\"".\"",\"".\"",\""3\""]\n,[\""4\"",\"".\"",\"".\"",\""8\"",\"".\"",\""3\"",\"".\"",\"".\"",\""1\""]\n,[\""7\"",\"".\"",\"".\"",\"".\"",\""2\"",\"".\"",\"".\"",\"".\"",\""6\""]\n,[\"".\"",\""6\"",\"".\"",\"".\"",\"".\"",\"".\"",\""2\"",\""8\"",\"".\""]\n,[\"".\"",\"".\"",\"".\"",\""4\"",\""1\"",\""9\"",\"".\"",\"".\"",\""5\""]\n,[\"".\"",\"".\"",\"".\"",\"".\"",\""8\"",\"".\"",\"".\"",\""7\"",\""9\""]]\nOutput: false\nExplanation: Same as Example 1, except with the 5 in the top left corner being modified to 8. Since there are two 8's in the top left 3x3 sub-box, it is invalid.\n"",""example_img_source"":null}]",valid-sudoku,Valid Sudoku
63b594ed8ad4593d6b7b01d3,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    \""\""\""\n    @param: strs: a list of strings\n    @return: encodes a list of strings to a single string.\n    \""\""\""\n    def encode(self, strs):\n        # write your code here\n\n    \""\""\""\n    @param: str: A string\n    @return: dcodes a single string to a list of strings\n    \""\""\""\n    def decode(self, str):\n        # write your code here\n""},{""lang"":""javascript"",""langSlug"":""Javascript"",""code"":""/*\n* @param strs: a list of strings\n* @return: encodes a list of strings to a single string.\n*/\nvar encode = function(strs) {\n    // write your code here\n}\n\n/*\n* @param str: A string\n* @return: decodes a single string to a list of strings\n*/\nvar decode = function(str) {\n    // write your code here\n}""}]",1 <= nums.length <= 105,null,"Design an algorithm to encode a list of strings to a string. 
The encoded string is then sent over the network and is decoded back to the original list of strings.

Please implement encode and decode.","[{""example_text"":""Input: [\""lint\"",\""code\"",\""love\"",\""you\""]\nOutput: [\""lint\"",\""code\"",\""love\"",\""you\""]\nExplanation:\nOne possible encode method is: \""lint:;code:;love:;you\"""",""example_img_source"":""""},{""example_text"":""Input: [\""we\"", \""say\"", \"":\"", \""yes\""]\nOutput: [\""we\"", \""say\"", \"":\"", \""yes\""]\nExplanation:\nOne possible encode method is: \""we:;say:;:::;yes\"""",""example_img_source"":""""}]",encode-and-decode-strings,Encode And Decode Strings
63b594ee8ad4593d6b7b01d4,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def longestConsecutive(self, nums: List[int]) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @return {number}\n */\nvar longestConsecutive = function(nums) {\n    \n};""}]","

0 <= nums.length <= 105
-109 <= nums[i] <= 109

",null,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.
You must write an algorithm that runs in O(n) time.
 
","[{""example_text"":""\nInput: nums = [100,4,200,1,3,2]\nOutput: 4\nExplanation: The longest consecutive elements sequence is [1, 2, 3, 4]. Therefore its length is 4.\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [0,3,7,2,5,8,4,6,0,1]\nOutput: 9\n"",""example_img_source"":null}]",longest-consecutive-sequence,Longest Consecutive Sequence
63b594ef8ad4593d6b7b01d5,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def isPalindrome(self, s: str) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @return {boolean}\n */\nvar isPalindrome = function(s) {\n    \n};""}]","

1 <= s.length <= 2 * 105
s consists only of printable ASCII characters.

",null,"A phrase is a palindrome if, after converting all uppercase letters into lowercase letters and removing all non-alphanumeric characters, it reads the same forward and backward. Alphanumeric characters include letters and numbers.
Given a string s, return true if it is a palindrome, or false otherwise.
 
","[{""example_text"":""\nInput: s = \""A man, a plan, a canal: Panama\""\nOutput: true\nExplanation: \""amanaplanacanalpanama\"" is a palindrome.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""race a car\""\nOutput: false\nExplanation: \""raceacar\"" is not a palindrome.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \"" \""\nOutput: true\nExplanation: s is an empty string \""\"" after removing non-alphanumeric characters.\nSince an empty string reads the same forward and backward, it is a palindrome.\n"",""example_img_source"":null}]",valid-palindrome,Valid Palindrome
